"","run","Id","coverage","LAURING_ID","dup"
"140","HK_1","MH9017_B",6428.6442541885,"MH9017","B"
"141","HK_1","MH9045_A",20803.8425714075,"MH9045","A"
"142","HK_1","MH9547_B",19199.3744187763,"MH9547","B"
"143","HK_1","PC1A",14856.4153812089,"PC1A",NA
"144","HK_1","PC1B",13266.2766255812,"PC1B",NA
"145","HK_1","PC2B",21135.4021699018,"PC2B",NA
"146","HK_2","HS1401_B",23492.2610524762,"HS1401","B"
"147","HK_2","MH7385_B",15242.7692818658,"MH7385","B"
"148","HK_2","MH7390_B",19477.2015646911,"MH7390","B"
"149","HK_2","MH7391_B",17685.6646246955,"MH7391","B"
"150","HK_2","MH7409_B",20948.1709351244,"MH7409","B"
"151","HK_2","MH7440_B",20148.2363274042,"MH7440","B"
"152","HK_2","MH7505_B",22956.4040888626,"MH7505","B"
"153","HK_2","MH7520_B",14956.817255886,"MH7520","B"
"154","HK_2","MH7564_B",24208.5408517234,"MH7564","B"
"155","HK_2","MH7611_B",20725.0494501439,"MH7611","B"
"156","HK_2","MH7687_B",16980.8427190199,"MH7687","B"
"157","HK_2","MH7755_B",18201.4439442025,"MH7755","B"
"158","HK_2","MH7796_B",13871.0273082884,"MH7796","B"
"159","HK_2","MH7799_B",3600.31131448815,"MH7799","B"
"160","HK_2","MH7800_B",22213.0059044948,"MH7800","B"
"161","HK_2","MH7804_B",18051.7939331316,"MH7804","B"
"162","HK_2","MH7843_B",22818.5765001107,"MH7843","B"
"163","HK_2","MH7844_B",15741.2516052845,"MH7844","B"
"164","HK_2","MH7845_B",17988.0289320245,"MH7845","B"
"165","HK_2","MH7851_B",17180.7140010333,"MH7851","B"
"166","HK_2","MH7855_B",18925.703520555,"MH7855","B"
"167","HK_2","MH7860_B",20379.2167687652,"MH7860","B"
"168","HK_2","MH7884_B",22399.9649420621,"MH7884","B"
"169","HK_2","MH7885_B",22558.3790685659,"MH7885","B"
"170","HK_2","MH7886_B",15531.0279725441,"MH7886","B"
"171","HK_2","MH7890_B",19656.2245184146,"MH7890","B"
"172","HK_2","MH7891_B",17455.310059783,"MH7891","B"
"173","HK_2","MH7905_B",9861.15735478633,"MH7905","B"
"174","HK_2","MH7953_B",15102.6069820651,"MH7953","B"
"175","HK_2","MH8052_B",14118.529928408,"MH8052","B"
"176","HK_2","MH8089_B",20438.1753634955,"MH8089","B"
"177","HK_2","MH8090_B",22408.6317809432,"MH8090","B"
"178","HK_2","MH8125_B",21955.6405638793,"MH8125","B"
"179","HK_2","MH8126_B",17840.5492656285,"MH8126","B"
"180","HK_2","MH8127_B",496.005683076242,"MH8127","B"
"181","HK_2","MH8129_B",14505.0947671415,"MH8129","B"
"182","HK_2","MH8137_B",22257.7272861466,"MH8137","B"
"183","HK_2","MH8156_B",2706.84471178685,"MH8156","B"
"184","HK_2","MH8158_B",19399.35035796,"MH8158","B"
"185","HK_2","MH8159_B",16027.298472212,"MH8159","B"
"186","HK_2","MH8160_B",21579.7616060226,"MH8160","B"
"187","HK_2","MH8165_B",13351.0462026718,"MH8165","B"
"188","HK_2","MH8183_B",12997.831205255,"MH8183","B"
"189","HK_2","MH8186_B",21640.4415824046,"MH8186","B"
"190","HK_2","MH8308_B",21723.6884640933,"MH8308","B"
"191","HK_2","MH8309_B",20563.6265407041,"MH8309","B"
"192","HK_2","MH8386_B",22815.7964425419,"MH8386","B"
"193","HK_2","MH8390_B",23243.3451177209,"MH8390","B"
"194","HK_2","MH8391_B",18661.4261569119,"MH8391","B"
"195","HK_2","MH8392_B",22152.1180898959,"MH8392","B"
"196","HK_2","MH8396_B",16599.0569045686,"MH8396","B"
