"","s","prob","lower","upper"
"59",0.58,0.712550828835354,0.63857972713202,0.805887259412296
"60",0.59,0.721134762106221,0.648076892617832,0.812820379856601
"61",0.6,0.729620337297891,0.657527667046218,0.819606607268336
"62",0.61,0.738008681435872,0.666932277024815,0.826249053891575
"63",0.62,0.746300908631768,0.67629094805434,0.832750766030823
"64",0.63,0.754498120231258,0.685603904534002,0.839114725448089
"65",0.64,0.762601404960366,0.694871369766882,0.845343850730356
"66",0.65,0.770611839070069,0.704093565965286,0.851440998628078
"67",0.66,0.778530486479235,0.713270714256074,0.857408965365322
"68",0.67,0.786358398915933,0.722403034685959,0.863250487922149
"69",0.68,0.794096616057119,0.731490746226791,0.868968245289825
"70",0.69,0.80174616566672,0.740534066780797,0.874564859699436
"71",0.7,0.809308063732142,0.749533213185816,0.880042897824479
"72",0.71,0.816783314599209,0.758488401220489,0.885404871957963
"73",0.72,0.824172911105554,0.767399845609441,0.89065324116458
"74",0.73,0.831477834712487,0.776267760028424,0.895790412408462
"75",0.74,0.838699055635349,0.785092357109443,0.900818741657039
"76",0.75,0.845837532972374,0.793873848445853,0.905740534961518
"77",0.76,0.852894214832069,0.802612444597434,0.91055804951446
"78",0.77,0.859870038459142,0.811308355095438,0.915273494684962
"79",0.78,0.866765930358986,0.819961788447617,0.919889033031895
"80",0.79,0.873582806420726,0.828572952143216,0.92440678129568
"81",0.8,0.880321572038874,0.837142052657953,0.92882881136905
"82",0.81,0.886983122233575,0.84566929545897,0.933157151247246
"83",0.82,0.893568341769481,0.854154885009757,0.937393785958077
"84",0.83,0.900078105273262,0.862599024775055,0.94154065847228
"85",0.84,0.906513277349774,0.871001917225736,0.945599670594588
"86",0.85,0.91287471269689,0.879363763843659,0.94957268383592
"87",0.86,0.919163256219021,0.887684765126496,0.953461520267091
"88",0.87,0.925379743139327,0.895965120592544,0.957267963354437
"89",0.88,0.931524999110658,0.904205028785508,0.960993758777734
"90",0.89,0.937599840325205,0.912404687279262,0.964640615230785
"91",0.9,0.943605073622912,0.920564292682584,0.96821020520505
"92",0.91,0.949541496598631,0.928684040643873,0.971704165756666
"93",0.92,0.95540989770806,0.936764125855838,0.975124099257226
"94",0.93,0.961211056372463,0.944804742060168,0.978471574128642
"95",0.94,0.966945743082188,0.952806082052177,0.981748125562442
"96",0.95,0.972614719499,0.960768337685427,0.984955256223828
"97",0.96,0.978218738557249,0.968691699876325,0.988094436940815
"98",0.97,0.983758544563863,0.976576358608709,0.991167107378772
"99",0.98,0.989234873297211,0.984422502938392,0.994174676700666
"100",0.99,0.994648452104824,0.992230320997704,0.997118524213324
"101",1,1,1,1
