"","mu","Ne","LL"
"303",6e-06,43,-3331.84173445765
"304",7e-06,43,-3380.0933293028
"305",8e-06,43,-3437.65261541511
"306",9e-06,43,-3502.32280461966
"307",1e-06,44,-3551.83218558455
"308",2e-06,44,-3357.26400694817
"309",3e-06,44,-3292.44890450604
"310",4e-06,44,-3280.76241404508
"311",5e-06,44,-3298.17616010675
"312",6e-06,44,-3334.02117094562
"313",7e-06,44,-3382.5797139945
"314",8e-06,44,-3440.44602365319
"315",9e-06,44,-3505.42331176963
"316",1e-06,45,-3552.68111523049
"317",2e-06,45,-3358.38959454568
"318",3e-06,45,-3293.85122127925
"319",4e-06,45,-3282.44153124101
"320",5e-06,45,-3300.1318057837
"321",6e-06,45,-3336.25369093678
"322",7e-06,45,-3385.08917960434
"323",8e-06,45,-3443.23250620865
"324",9e-06,45,-3508.48688262002
"325",1e-06,46,-3553.72429130108
"326",2e-06,46,-3359.68090005833
"327",3e-06,46,-3295.39072358255
"328",4e-06,46,-3284.21666867007
"329",5e-06,46,-3302.1675605898
"330",6e-06,46,-3338.53777603946
"331",7e-06,46,-3387.62166242948
"332",8e-06,46,-3446.01345420322
"333",9e-06,46,-3511.5163632526
"334",1e-06,47,-3554.95350053852
"335",2e-06,47,-3361.13107978518
"336",3e-06,47,-3297.06193740263
"337",4e-06,47,-3286.10870565824
"338",5e-06,47,-3304.28069028154
"339",6e-06,47,-3340.87206209204
"340",7e-06,47,-3390.17716852038
"341",8e-06,47,-3448.79024403098
"342",9e-06,47,-3514.51450053617
"343",1e-06,48,-3556.36105672423
"344",2e-06,48,-3362.73373878487
"345",3e-06,48,-3298.85975920189
"346",4e-06,48,-3288.10147571332
"347",5e-06,48,-3306.46867450845
"348",6e-06,48,-3343.2553205273
"349",7e-06,48,-3392.75576122058
"350",8e-06,48,-3451.56423107244
"351",9e-06,48,-3517.48394201523
"352",1e-06,49,-3557.93975636793
"353",2e-06,49,-3364.48289218577
"354",3e-06,49,-3300.77942285
"355",4e-06,49,-3290.19143156843
"356",5e-06,49,-3308.72918498891
"357",6e-06,49,-3345.68644217154
"358",7e-06,49,-3395.35755058625
"359",8e-06,49,-3454.33674473646
"360",9e-06,49,-3520.4272365733
"361",1e-06,50,-3559.68283894867
"362",2e-06,50,-3366.37293055535
"363",3e-06,50,-3302.81647012039
"364",4e-06,50,-3292.37526632161
"365",5e-06,50,-3311.06006626366
"366",6e-06,50,-3348.16442312643
"367",7e-06,50,-3397.98268439805
"368",8e-06,50,-3457.10908460021
"369",9e-06,50,-3523.3468357028
"370",1e-06,51,-3561.58395115756
"371",2e-06,51,-3368.39858882868
"372",3e-06,51,-3304.96672430657
"373",4e-06,51,-3294.64989173846
"374",5e-06,51,-3313.45931868413
"375",6e-06,51,-3350.68835244316
"376",7e-06,51,-3400.63134052137
"377",8e-06,51,-3459.88251745768
"378",9e-06,51,-3526.24509523984
"379",1e-06,52,-3563.63711467247
"380",2e-06,52,-3370.55491837187
"381",3e-06,52,-3307.22626657265
"382",4e-06,52,-3297.01241889117
"383",5e-06,52,-3315.92508334148
"384",6e-06,52,-3353.25740134198
"385",7e-06,52,-3403.30372041491
"386",8e-06,52,-3462.65827511651
"387",9e-06,52,-3529.12427745114
"388",1e-06,53,-3565.8366970514
"389",2e-06,53,-3372.83726180668
"390",3e-06,53,-3309.59141471072
"391",4e-06,53,-3299.46014084854
"392",5e-06,53,-3318.45562868709
"393",6e-06,53,-3355.87081376281
"394",7e-06,53,-3406.00004361453
"395",8e-06,53,-3465.43755281424
"396",9e-06,53,-3531.98655338258
"397",1e-06,54,-3568.17738539351
"398",2e-06,54,-3375.24123028079
"399",3e-06,54,-3312.058704019
"400",4e-06,54,-3301.99051716251
"401",5e-06,54,-3321.04933862901
"402",6e-06,54,-3358.52789807327
"403",7e-06,54,-3408.72054304928
"404",8e-06,54,-3468.22150814444
"405",9e-06,54,-3534.83400539509
"406",1e-06,55,-3570.65416245629
"407",2e-06,55,-3377.76268290197
"408",3e-06,55,-3314.6248700556
"409",4e-06,55,-3304.60115993987
"410",5e-06,55,-3323.70470192269
"411",6e-06,55,-3361.2280197758
"412",7e-06,55,-3411.46546106831
"413",8e-06,55,-3471.01126040235
"414",9e-06,55,-3537.66862982876
"415",1e-06,56,-3573.26228496018
"416",2e-06,56,-3380.39770809853
"417",3e-06,56,-3317.28683305211
"418",4e-06,56,-3307.28982131164
"419",5e-06,56,-3326.4203026938
"420",6e-06,56,-3363.97059508733
"421",7e-06,56,-3414.23504607532
"422",8e-06,56,-3473.80789027416
"423",9e-06,56,-3540.49233974828
"424",1e-06,57,-3575.99726384528
"425",2e-06,57,-3383.14260669149
"426",3e-06,57,-3320.04168380241
"427",4e-06,57,-3310.05438213753
"428",5e-06,57,-3329.19481196056
"429",6e-06,57,-3366.75508527672
"430",7e-06,57,-3417.02954968262
"431",8e-06,57,-3476.61243980793
"432",9e-06,57,-3543.3069677308
"433",1e-06,58,-3578.85484627416
"434",2e-06,58,-3385.99387649568
"435",3e-06,58,-3322.88667086409
"436",4e-06,58,-3312.89284180671
"437",5e-06,58,-3332.02698003296
"438",6e-06,58,-3369.58099166467
"439",7e-06,58,-3419.84922431072
"440",8e-06,58,-3479.42591261386
"441",9e-06,58,-3546.11426866483
"442",1e-06,59,-3581.83099919719
"443",2e-06,59,-3388.94819828914
"444",3e-06,59,-3325.81918892874
"445",4e-06,59,-3315.80330901082
"446",5e-06,59,-3334.91562968939
"447",6e-06,59,-3372.44785120218
"448",7e-06,59,-3422.69432117044
"449",8e-06,59,-3482.24927424855
"450",9e-06,59,-3548.91592253981
"451",1e-06,60,-3584.92189432202
"452",2e-06,60,-3392.00242300496
"453",3e-06,60,-3328.83676823766
"454",4e-06,60,-3318.7839933836
"455",5e-06,60,-3337.85965003927
"456",6e-06,60,-3375.3552325579
"457",7e-06,60,-3425.56508857243
"458",8e-06,60,-3485.0834527489
"459",9e-06,60,-3551.71353720188
"460",1e-06,61,-3588.12389434701
"461",2e-06,61,-3395.1535600233
"462",3e-06,61,-3331.92928610288
"463",4e-06,61,-3321.83319791183
"464",5e-06,61,-3340.85799099337
"465",6e-06,61,-3378.30273264794
"466",7e-06,61,-3428.46177051923
"467",8e-06,61,-3487.92933928398
"468",9e-06,61,-3554.50865106764
"469",1e-06,62,-3591.43354033006
"470",2e-06,62,-3398.39876645223
"471",3e-06,62,-3335.10508667346
"472",4e-06,62,-3324.9493120373
"473",5e-06,62,-3343.90965827774
"474",6e-06,62,-3381.28997355997
"475",7e-06,62,-3431.3846055378
"476",8e-06,62,-3490.78778889843
"477",9e-06,62,-3557.30273577771
"478",1e-06,63,-3594.84754008604
"479",2e-06,63,-3401.7353372979
"480",3e-06,63,-3338.3640409956
"481",4e-06,63,-3328.13080537528
"482",5e-06,63,-3347.01370892472
"483",6e-06,63,-3384.31659981914
"484",7e-06,63,-3434.33382572193
"485",8e-06,63,-3493.65962133013
"486",9e-06,63,-3560.09719878914
"487",1e-06,64,-3598.36275751266
"488",2e-06,64,-3405.16069643937
"489",3e-06,64,-3341.69935214797
"490",4e-06,64,-3331.37622198619
"491",5e-06,64,-3350.16924719529
"492",6e-06,64,-3387.38227595974
"493",7e-06,64,-3437.30965595213
"494",8e-06,64,-3496.54562187835
"495",9e-06,64,-3562.89338589314
"496",1e-06,65,-3601.97620275594
"497",2e-06,65,-3408.67238832904
"498",3e-06,65,-3345.10909895981
"499",4e-06,65,-3334.68417514629
"500",5e-06,65,-3353.37542088359
"501",6e-06,65,-3390.48668436397
"502",7e-06,65,-3440.31231326895
"503",8e-06,65,-3499.44654231331
"504",9e-06,65,-3565.69258365973
"505",1e-06,66,-3605.68502313957
"506",2e-06,66,-3412.26807035096
"507",3e-06,66,-3348.59144894336
"508",4e-06,66,-3338.05334256464
"509",5e-06,66,-3356.63141796279
"510",6e-06,66,-3393.62952333813
"511",7e-06,66,-3443.34200638004
"512",8e-06,66,-3502.36310181142
"513",9e-06,66,-3568.49602180304
"514",1e-06,67,-3609.48649478724
"515",2e-06,67,-3415.94550577548
"516",3e-06,67,-3352.14465258165
"517",4e-06,67,-3341.48246200301
"518",5e-06,67,-3359.93646353925
"519",6e-06,67,-3396.81050539887
"520",7e-06,67,-3446.39893527842
"521",8e-06,67,-3505.29598790822
"522",9e-06,67,-3571.30487546672
"523",1e-06,68,-3613.37801487512
"524",2e-06,68,-3419.70255725578
"525",3e-06,68,-3355.76703806879
"526",4e-06,68,-3344.97032725967
"527",5e-06,68,-3363.28981707998
"528",6e-06,68,-3400.02935574529
"529",7e-06,68,-3449.4832909591
"530",8e-06,68,-3508.24585745882
"531",9e-06,68,-3574.12026742991
"532",1e-06,69,-3617.35709445887
"533",2e-06,69,-3423.53718081675
"534",3e-06,69,-3359.45700646073
"535",4e-06,69,-3348.51578448334
"536",5e-06,69,-3366.69076988809
"537",6e-06,69,-3403.2858108967
"538",7e-06,69,-3452.59525521932
"539",8e-06,69,-3511.21333759996
"540",9e-06,69,-3576.94327023013
"541",1e-06,70,-3621.42135182465
"542",2e-06,70,-3427.44742029292
