"","Id","run","cov","LAURING_ID","dup"
"100","1222","perth",17635.6929303431,"1222",NA
"101","1225","victoria",28819.1623736069,"1225",NA
"102","1225","victoria_2",21223.643663739,"1225",NA
"103","1226","victoria",10238.1853273304,"1226",NA
"104","1227","victoria",22417.9266366522,"1227",NA
"105","1228","victoria",31821.9524688169,"1228",NA
"106","1228","victoria_2",31144.6625581224,"1228",NA
"107","1229","victoria",23920.4075577533,"1229",NA
"108","1229","victoria_2",26691.2380987527,"1229",NA
"109","1230","victoria",29192.96169459,"1230",NA
"110","1230","victoria_2",22482.6937781386,"1230",NA
"111","1231","victoria",35357.9165252048,"1231",NA
"112","1231","victoria_2",29747.2571407484,"1231",NA
"113","1232","victoria",36153.1744778212,"1232",NA
"114","1232","victoria_2",30040.6727433759,"1232",NA
"115","1233","victoria",18087.9008044874,"1233",NA
"116","1235","victoria",16482.8432356631,"1235",NA
"117","1236","victoria",1845.67540039855,"1236",NA
"118","1237","victoria",23534.4595173076,"1237",NA
"119","1237","victoria_2",28082.1317440402,"1237",NA
"120","1238","victoria",30290.4360469407,"1238",NA
"121","1238","victoria_2",20481.2160307034,"1238",NA
"122","1239","victoria",22261.9043471843,"1239",NA
"123","1240","victoria",27114.6706768027,"1240",NA
"124","1240","victoria_2",23961.020370507,"1240",NA
"125","1241","victoria",22432.47804266,"1241",NA
"126","1242","victoria",17749.5162004576,"1242",NA
"127","1242","victoria_2",21311.0405195955,"1242",NA
"128","1243","victoria",23588.9798509115,"1243",NA
"129","1244","victoria",16943.9337220459,"1244",NA
"130","1245","victoria",15002.247398332,"1245",NA
"131","1245","victoria_2",17071.7088346003,"1245",NA
"132","1301","victoria",31252.1635545059,"1301",NA
"133","1302","victoria",2921.0696730386,"1302",NA
"134","1303","victoria",26122.80286368,"1303",NA
"135","1303","victoria_2",29607.1487194627,"1303",NA
"136","1304","victoria",7795.91490146874,"1304",NA
"137","1305","victoria",9966.4480035427,"1305",NA
"138","1305","victoria_2",18088.6062440032,"1305",NA
"139","1306","victoria",19941.4650527714,"1306",NA
"140","1307","victoria",30492.0999335744,"1307",NA
"141","1307","victoria_2",29700.4943538268,"1307",NA
"142","1308","victoria",18932.4435013654,"1308",NA
"143","1309","victoria",22807.9941693114,"1309",NA
"144","1310","victoria",24931.8091372057,"1310",NA
"145","1310","victoria_2",29881.5206288287,"1310",NA
"146","1311","cali09",22466.1707535217,"1311",NA
"147","1312","victoria",14812.6294929515,"1312",NA
"148","1313","victoria",24777.5184884493,"1313",NA
"149","1313","victoria_2",28599.8889954978,"1313",NA
"150","1315","victoria",28375.3685142815,"1315",NA
"151","1316","victoria",23586.3695475681,"1316",NA
"152","1317","victoria",27744.6608605801,"1317",NA
"153","1317","victoria_2",21539.3824636505,"1317",NA
"154","1318","victoria",26012.276920806,"1318",NA
"155","1319","victoria",3517.2090191158,"1319",NA
"156","1320","victoria",535.476640342461,"1320",NA
"157","1321","victoria",24108.965680124,"1321",NA
"158","1321","victoria_2",28406.1544025389,"1321",NA
"159","1323","victoria",21454.1766920068,"1323",NA
"160","1323","victoria_2",19475.0377887667,"1323",NA
"161","1324","victoria",16332.5698575541,"1324",NA
"162","1325","victoria",2315.65392279873,"1325",NA
"163","1326","victoria",22169.9893719094,"1326",NA
"164","1327","victoria",9055.07063251901,"1327",NA
"165","1329","victoria",1888.61871724851,"1329",NA
"166","1330","victoria",11073.0951361724,"1330",NA
"167","1331","victoria",10.2259207321574,"1331",NA
"168","1333","victoria",12790.6928186582,"1333",NA
"169","1336","cali09",1047.70045464709,"1336",NA
"170","1338","victoria",6493.91622998007,"1338",NA
"171","1339","cali09",17492.1978087501,"1339",NA
"172","1340","victoria",28601.305262381,"1340",NA
"173","1340","victoria_2",18242.7224149384,"1340",NA
"174","1341","victoria",16965.8289910695,"1341",NA
"175","1342","victoria",175.259723964868,"1342",NA
"176","1343","victoria",1431.74522104952,"1343",NA
"177","1346","cali09",13089.4557650742,"1346",NA
"178","1346","cali09_2",15904.2130133413,"1346",NA
"179","1347","cali09",13690.3116941194,"1347",NA
"180","1347","cali09_2",8858.94179026608,"1347",NA
"181","1348","cali09",13448.8957292987,"1348",NA
"182","1348","cali09_2",17541.0910039502,"1348",NA
"183","1349","cali09",16567.9669821868,"1349",NA
"184","1350","cali09",16007.1413132593,"1350",NA
"185","1350","cali09_2",25942.514198405,"1350",NA
"186","1351","cali09",11924.3669970932,"1351",NA
