"X30","X50","X100"
47.0,53.0,127.0
32.0,62.0,86.0
33.0,47.0,121.0
32.0,33.0,102.0
32.0,46.0,105.0
32.0,41.0,121.0
44.0,50.0,182.0
33.0,45.0,96.0
32.0,64.0,90.0
30.0,104.0,104.0
30.0,55.0,136.0
33.0,33.0,177.0
33.0,57.0,84.0
28.0,44.0,87.0
33.0,58.0,180.0
28.0,51.0,123.0
30.0,58.0,124.0
33.0,68.0,79.0
35.0,61.0,103.0
33.0,57.0,65.0
32.0,82.0,156.0
32.0,54.0,81.0
33.0,59.0,88.0
42.0,58.0,88.0
41.0,51.0,120.0
40.0,56.0,139.0
38.0,80.0,70.0
33.0,51.0,100.0
33.0,64.0,114.0
30.0,70.0,150.0
32.0,43.0,141.0
35.0,49.0,101.0
35.0,65.0,135.0
32.0,55.0,143.0
36.0,33.0,146.0
32.0,33.0,110.0
32.0,43.0,125.0
28.0,50.0,101.0
29.0,45.0,75.0
41.0,57.0,143.0
33.0,44.0,94.0
32.0,78.0,142.0
32.0,49.0,145.0
28.0,50.0,124.0
27.0,67.0,89.0
30.0,64.0,121.0
35.0,47.0,103.0
33.0,57.0,145.0
32.0,53.0,91.0
41.0,51.0,122.0
28.0,64.0,132.0
32.0,48.0,123.0
30.0,60.0,104.0
28.0,50.0,126.0
32.0,56.0,127.0
30.0,77.0,108.0
33.0,58.0,105.0
30.0,85.0,109.0
34.0,52.0,103.0
32.0,53.0,129.0
44.0,43.0,146.0
33.0,67.0,179.0
32.0,47.0,105.0
33.0,58.0,133.0
33.0,66.0,124.0
33.0,59.0,138.0
31.0,54.0,81.0
33.0,45.0,79.0
32.0,54.0,132.0
47.0,59.0,120.0
30.0,51.0,116.0
40.0,52.0,90.0
30.0,66.0,117.0
32.0,73.0,116.0
45.0,47.0,148.0
34.0,43.0,120.0
40.0,69.0,108.0
32.0,60.0,125.0
45.0,56.0,101.0
34.0,65.0,92.0
32.0,49.0,116.0
33.0,60.0,128.0
29.0,48.0,100.0
33.0,47.0,130.0
47.0,54.0,92.0
